b	c	x	h	l
0.	0.	4.630575242011236	0.6639043118977154	5.088629195351511
0.	0.005	4.630575247177728	7.618349595355039e-7	5.088629164180864
0.	0.01	4.630575247109174	3.758631087475545e-7	5.088629164594462
0.	0.015	4.63057524704111	2.4722986996159137e-7	5.088629165005113
0.	0.02	4.6305752469731685	1.8291781360807278e-7	5.088629165415017
0.	0.025	4.630575246905278	1.443320459545834e-7	5.08862916582462
0.	0.03	4.63057524683741	1.186088110369822e-7	5.088629166234071
0.	0.035	4.630575246769559	1.0023537421760626e-7	5.08862916664344
0.	0.04	4.630575246701716	8.645545669838769e-8	5.088629167052756
0.	0.045	4.630575246633878	7.573784492113248e-8	5.088629167462029
0.	0.05	4.630575246566046	6.716381573283946e-8	5.088629167871283
0.	0.055	4.630575246498215	6.014874107023084e-8	5.088629168280518
0.	0.06	4.6305752464303875	5.43028732576545e-8	5.088629168689738
0.	0.065	4.630575246362562	4.935638937887126e-8	5.088629169098948
0.	0.07	4.630575246294737	4.511656056844607e-8	5.088629169508151
0.	0.075	4.630575246226913	4.1442053083202685e-8	5.088629169917345
0.	0.08	4.630575246159091	3.822686726199582e-8	5.088629170326536
0.	0.085	4.630575246091269	3.53899459228918e-8	5.088629170735721
0.	0.09	4.630575246023447	3.286824124061975e-8	5.088629171144902
0.	0.095	4.630575245955627	3.061198402436038e-8	5.088629171554082
0.	0.1	4.6305752458878064	2.8581355752896406e-8	5.088629171963256
0.	0.105	4.630575245819987	2.6744123301282804e-8	5.088629172372431
0.	0.11	4.6305752457521665	2.507391414579079e-8	5.088629172781602
0.	0.115	4.630575245684348	2.3548942377063542e-8	5.088629173190776
0.	0.12	4.630575245616528	2.2151053106763717e-8	5.088629173599942
0.	0.125	4.63057524554871	2.0864996520541723e-8	5.088629174009109
0.	0.13	4.63057524548089	1.967786793933314e-8	5.088629174418273
0.	0.135	4.630575245413072	1.857867599147595e-8	5.088629174827442
0.	0.14	4.630575245345254	1.7557998711302214e-8	5.088629175236603
0.	0.145	4.630575245277436	1.660771336165332e-8	5.08862917564577
0.	0.15	4.630575245209617	1.5720781121353046e-8	5.088629176054932
0.	0.155	4.6305752451418	1.489107100040908e-8	5.088629176464093
