b	c	x	h	l
0.	0.	5.235981045316623	0.253253194376705	6.549481090005882
0.	0.005	5.235981052638871	5.218820755787204e-7	6.549481075676746
0.	0.01	5.235981052497834	2.559149760424538e-7	6.54948107595274
0.	0.015	5.235981052357285	1.672708301650985e-7	6.5494810762277895
0.	0.02	5.235981052216857	1.2295093679951676e-7	6.549481076502595
0.	0.025	5.235981052076479	9.635969964452819e-8	6.549481076777305
0.	0.03	5.235981051936125	7.863249964967683e-8	6.5494810770519685
0.	0.035	5.235981051795785	6.597035675010794e-8	6.549481077326602
0.	0.04	5.235981051655455	5.6473827696092564e-8	6.549481077601222
0.	0.045	5.23598105151513	4.9087684733589495e-8	6.5494810778758294
0.	0.05	5.235981051374809	4.317879953714566e-8	6.549481078150428
0.	0.055	5.23598105123449	3.834427639364555e-8	6.549481078425018
0.	0.06	5.235981051094175	3.431552037008469e-8	6.549481078699608
0.	0.065	5.235981050953861	3.0906582383292724e-8	6.549481078974195
0.	0.07	5.235981050813548	2.798464240885716e-8	6.549481079248776
0.	0.075	5.235981050673236	2.545229951960133e-8	6.549481079523355
0.	0.08	5.235981050532925	2.3236503442079844e-8	6.549481079797934
0.	0.085	5.235981050392615	2.128139229394093e-8	6.549481080072512
0.	0.09	5.235981050252305	1.9543518093217966e-8	6.549481080347085
0.	0.095	5.235981050111997	1.798857992094287e-8	6.549481080621662
0.	0.1	5.235981049971688	1.6589137101820836e-8	6.549481080896237
0.	0.105	5.235981049831381	1.5322975805017148e-8	6.549481081170812
0.	0.11	5.235981049691072	1.4171921114291222e-8	6.549481081445383
0.	0.115	5.235981049550764	1.3120958995547769e-8	6.549481081719952
0.	0.12	5.235981049410457	1.215757777430471e-8	6.549481081994524
0.	0.125	5.23598104927015	1.1271267659813213e-8	6.549481082269097
0.	0.13	5.235981049129843	1.0453135764492797e-8	6.549481082543667
0.	0.135	5.235981048989537	9.69560667523252e-9	6.5494810828182395
0.	0.14	5.235981048849229	8.992187188426048e-9	6.549481083092807
0.	0.145	5.235981048708923	8.337279720859512e-9	6.54948108336738
0.	0.15	5.235981048568617	7.726033037215279e-9	6.549481083641949
0.	0.155	5.235981048428311	7.154221876332737e-9	6.549481083916518
0.	0.16	5.235981048288004	6.61814913365015e-9	6.549481084191085
0.	0.165	5.235981048147698	6.114565842607553e-9	6.549481084465655
0.	0.17	5.2359810480073925	5.640605270226341e-9	6.5494810847402265
0.	0.175	5.235981047867086	5.193728312004301e-9	6.549481085014791
0.	0.18	5.2359810477267805	4.771677987707813e-9	6.549481085289365
0.	0.185	5.235981047586475	4.372441316283948e-9	6.549481085563932
0.	0.19	5.235981047446169	3.994217210525191e-9	6.5494810858385
0.	0.195	5.235981047305863	3.635389311007629e-9	6.549481086113067
0.	0.2	5.2359810471655575	3.2945028950784534e-9	6.549481086387634
0.	0.205	5.235981047025252	2.9702451649302005e-9	6.5494810866622055
0.	0.21	5.235981046884947	2.661428351706599e-9	6.549481086936773
0.	0.215	5.235981046744642	2.3669751771835423e-9	6.549481087211342
0.	0.22	5.235981046604335	2.0859062979618513e-9	6.549481087485909
0.	0.225	5.235981046464031	1.8173294237712433e-9	6.549481087760478
0.	0.23	5.235981046323725	1.5604298551325044e-9	6.549481088035045
0.	0.235	5.2359810461834195	1.3144622289835677e-9	6.549481088309613
0.	0.24	5.235981046043115	1.078743296106916e-9	6.549481088584184
0.	0.245	5.23598104590281	8.526455829557588e-10	6.549481088858751
0.	0.25	5.235981045762503	6.355918140659536e-10	6.549481089133314
0.	0.255	5.235981045622199	4.270499906557481e-10	6.549481089407885
0.	0.26	5.235981045481894	2.2652903707871314e-10	6.549481089682452
0.	0.265	5.235981045341587	3.3574940148578184e-11	6.549481089957018
0.	0.27	5.235981045201283	0.	6.549481089745224
0.	0.275	5.235981045060977	0.	6.549481089428144
0.	0.28	5.235981044920672	0.	6.549481089111068
0.	0.285	5.235981044780368	0.	6.549481088793991
0.	0.29	5.235981044640062	0.	6.549481088476912
0.	0.295	5.2359810444997565	0.	6.549481088159835
0.	0.3	5.235981044359452	0.	6.549481087842761
0.	0.305	5.235981044219146	0.	6.549481087525681
0.	0.31	5.235981044078842	0.	6.549481087208606
0.	0.315	5.235981043938538	0.	6.5494810868915305
0.	0.32	5.2359810437982315	0.	6.549481086574453
0.	0.325	5.235981043657927	0.	6.549481086257375
0.	0.33	5.235981043517621	0.	6.549481085940297
0.	0.335	5.235981043377317	0.	6.549481085623221
0.	0.34	5.235981043237012	0.	6.549481085306145
0.	0.345	5.235981043096707	0.	6.549481084989069
0.	0.35	5.235981042956401	0.	6.549481084671989
0.	0.355	5.235981042816096	0.	6.549481084354914
0.	0.36	5.2359810426757925	0.	6.54948108403784
0.	0.365	5.235981042535486	0.	6.549481083720759
0.	0.37	5.235981042395182	0.	6.549481083403686
0.	0.375	5.235981042254877	0.	6.549481083086608
0.	0.38	5.235981042114571	0.	6.549481082769528
